"UberEats_startTime,UberEats_endTime,UberEats_restaurant_info/b_name,UberEats_restaurant_info/vb_name,GrubHub_startTime,GrubHub_endTime,GrubHub_restaurant_info/b_name,GrubHub_restaurant_info/vb_name,is_out_of_range"
",,Sal's Place Deli Grocery,The Sandwich Slut,00:00:00.000,00:00:00.000,Sal's Place Deli Grocery,The Sandwich Slut,Out of Range with 5 mins difference"
",,Sal's Place Deli Grocery,The Sandwich Slut,07:00:00.000,23:00:00.000,Sal's Place Deli Grocery,The Sandwich Slut,Out of Range with 5 mins difference"
",,Sal's Place Deli Grocery,The Sandwich Slut,07:00:00.000,23:00:00.000,Sal's Place Deli Grocery,The Sandwich Slut,Out of Range with 5 mins difference"
",,Wesam Deli,General's French Toast,07:30:00.000,01:30:00.000,Wesam Deli,General's French Toast,Out of Range with 5 mins difference"
",,Wesam Deli,General's French Toast,,,Wesam Deli,General's French Toast,Out of Range with 5 mins difference"
",,Wesam Deli,General's French Toast,01:30:20.592,01:30:00.000,Wesam Deli,General's French Toast,Out of Range with 5 mins difference"
",,Wesam Deli,General's French Toast,02:45:42.270,01:00:00.000,Wesam Deli,General's French Toast,Out of Range with 5 mins difference"
",,Daddy's Delights,Insomnia Buffalo Wings,10:00:00.000,00:00:00.000,Daddy's Delights,Insomnia Buffalo Wings,Out of Range with 5 mins difference"
",,Daddy's Delights,Insomnia Buffalo Wings,10:00:00.000,00:00:00.000,Daddy's Delights,Insomnia Buffalo Wings,Out of Range with 5 mins difference"
",,Daddy's Delights,Insomnia Buffalo Wings,10:00:00.000,01:00:00.000,Daddy's Delights,Insomnia Buffalo Wings,Out of Range with 5 mins difference"
",,Daddy's Delights,Insomnia Buffalo Wings,10:00:00.000,00:00:00.000,Daddy's Delights,Insomnia Buffalo Wings,Out of Range with 5 mins difference"
",,Al Basha Subs - Dearborn Heights [48127],Sam's Scrumptious Subs,04:00:01.138,01:30:00.000,Al Basha Subs - Dearborn Heights [48127],Sam's Scrumptious Subs,Out of Range with 5 mins difference"
",,Al Basha Subs - Dearborn Heights [48127],Sam's Scrumptious Subs,01:30:26.497,01:30:00.000,Al Basha Subs - Dearborn Heights [48127],Sam's Scrumptious Subs,Out of Range with 5 mins difference"
",,Al Basha Subs - Dearborn Heights [48127],Sam's Scrumptious Subs,11:00:00.000,03:00:00.000,Al Basha Subs - Dearborn Heights [48127],Sam's Scrumptious Subs,Out of Range with 5 mins difference"
",,Al Basha Subs - Dearborn Heights [48127],Sam's Scrumptious Subs,01:30:21.244,01:30:00.000,Al Basha Subs - Dearborn Heights [48127],Sam's Scrumptious Subs,Out of Range with 5 mins difference"
",,Mi Yucatan,The Dessert Dream,06:00:00.000,19:00:00.000,Mi Yucatan,The Dessert Dream,Out of Range with 5 mins difference"
",,Mi Yucatan,The Dessert Dream,09:00:00.000,21:00:00.000,Mi Yucatan,The Dessert Dream,Out of Range with 5 mins difference"
",,Mi Yucatan,The Dessert Dream,09:00:00.000,21:00:00.000,Mi Yucatan,The Dessert Dream,Out of Range with 5 mins difference"
",,Mi Yucatan,The Dessert Dream,09:00:00.000,21:00:00.000,Mi Yucatan,The Dessert Dream,Out of Range with 5 mins difference"
",,Canteen Desi Dhaba - Jersey City [07306],Vegetarian Indian Cafe,11:00:00.000,00:00:00.000,Canteen Desi Dhaba - Jersey City [07306],Vegetarian Indian Cafe,Out of Range with 5 mins difference"
",,Canteen Desi Dhaba - Jersey City [07306],Vegetarian Indian Cafe,11:00:00.000,15:00:00.000,Canteen Desi Dhaba - Jersey City [07306],Vegetarian Indian Cafe,Out of Range with 5 mins difference"
",,Canteen Desi Dhaba - Jersey City [07306],Vegetarian Indian Cafe,11:00:00.000,00:00:00.000,Canteen Desi Dhaba - Jersey City [07306],Vegetarian Indian Cafe,Out of Range with 5 mins difference"
",,Canteen Desi Dhaba - Jersey City [07306],Vegetarian Indian Cafe,10:00:00.000,00:00:00.000,Canteen Desi Dhaba - Jersey City [07306],Vegetarian Indian Cafe,Out of Range with 5 mins difference"
",,Remedy Diner,First Light Breakfast Cafe,00:00:00.000,00:00:00.000,Remedy Diner,First Light Breakfast Cafe,Out of Range with 5 mins difference"
",,Remedy Diner,First Light Breakfast Cafe,06:00:00.000,00:00:00.000,Remedy Diner,First Light Breakfast Cafe,Out of Range with 5 mins difference"
",,Remedy Diner,First Light Breakfast Cafe,06:00:00.000,00:00:00.000,Remedy Diner,First Light Breakfast Cafe,Out of Range with 5 mins difference"
",,Remedy Diner,First Light Breakfast Cafe,06:00:00.000,00:00:00.000,Remedy Diner,First Light Breakfast Cafe,Out of Range with 5 mins difference"
",,Sal's Place Deli Grocery,The Pancake Snob,00:00:00.000,00:00:00.000,Sal's Place Deli Grocery,The Pancake Snob,Out of Range with 5 mins difference"
",,Sal's Place Deli Grocery,The Pancake Snob,07:00:00.000,23:00:00.000,Sal's Place Deli Grocery,The Pancake Snob,Out of Range with 5 mins difference"
",,Sal's Place Deli Grocery,The Pancake Snob,07:00:00.000,23:00:00.000,Sal's Place Deli Grocery,The Pancake Snob,Out of Range with 5 mins difference"
",,Sal's Place Deli Grocery,The Pancake Snob,07:00:00.000,23:00:00.000,Sal's Place Deli Grocery,The Pancake Snob,Out of Range with 5 mins difference"
